,run,database,workload,record_nbr,type,label,value,throughput,throughput_value,runtime,runtime_value
0,load-1,Redis,workload a,100000,OVERALL,Throughput(ops/sec),7885.1916101561255,Throughput(ops/sec),7885.1916101561255,RunTime(ms),12682.0
1,load-1,Redis,workload a,10000,OVERALL,Throughput(ops/sec),5913.660555884092,Throughput(ops/sec),5913.660555884092,RunTime(ms),1691.0
2,load-1,Redis,workload a,1000,OVERALL,Throughput(ops/sec),942.5070688030161,Throughput(ops/sec),942.5070688030161,RunTime(ms),1061.0
3,run-1,Redis,workload a,100000,OVERALL,Throughput(ops/sec),15330.369461904033,Throughput(ops/sec),15330.369461904033,RunTime(ms),6523.0
4,run-1,Redis,workload a,10000,OVERALL,Throughput(ops/sec),9569.37799043062,Throughput(ops/sec),9569.37799043062,RunTime(ms),1045.0
5,run-1,Redis,workload a,1000,OVERALL,Throughput(ops/sec),960.6147934678194,Throughput(ops/sec),960.6147934678194,RunTime(ms),1041.0
6,run-1,Redis,workload b,100000,OVERALL,Throughput(ops/sec),16002.560409665546,Throughput(ops/sec),16002.560409665546,RunTime(ms),6249.0
7,run-1,Redis,workload b,10000,OVERALL,Throughput(ops/sec),9624.63907603465,Throughput(ops/sec),9624.63907603465,RunTime(ms),1039.0
8,run-1,Redis,workload b,1000,OVERALL,Throughput(ops/sec),956.9377990430623,Throughput(ops/sec),956.9377990430623,RunTime(ms),1045.0
9,run-1,Redis,workload c,100000,OVERALL,Throughput(ops/sec),18843.037497644626,Throughput(ops/sec),18843.037497644626,RunTime(ms),5307.0
10,run-1,Redis,workload c,10000,OVERALL,Throughput(ops/sec),9643.20154291225,Throughput(ops/sec),9643.20154291225,RunTime(ms),1037.0
11,run-1,Redis,workload c,1000,OVERALL,Throughput(ops/sec),961.5384615384617,Throughput(ops/sec),961.5384615384617,RunTime(ms),1040.0
12,run-1,Redis,workload d,100000,OVERALL,Throughput(ops/sec),16082.34158893535,Throughput(ops/sec),16082.34158893535,RunTime(ms),6218.0
13,run-1,Redis,workload d,10000,OVERALL,Throughput(ops/sec),8688.097306689835,Throughput(ops/sec),8688.097306689835,RunTime(ms),1151.0
14,run-1,Redis,workload d,1000,OVERALL,Throughput(ops/sec),962.4639076034648,Throughput(ops/sec),962.4639076034648,RunTime(ms),1039.0
15,load-1,Mongodb,workload a,100000,OVERALL,Throughput(ops/sec),3279.548734094189,Throughput(ops/sec),3279.548734094189,RunTime(ms),30492.0
16,load-1,Mongodb,workload a,10000,OVERALL,Throughput(ops/sec),679.5786612300374,Throughput(ops/sec),679.5786612300374,RunTime(ms),14715.0
17,load-1,Mongodb,workload a,1000,OVERALL,Throughput(ops/sec),83.82932349735937,Throughput(ops/sec),83.82932349735937,RunTime(ms),11929.0
18,run-1,Mongodb,workload a,100000,OVERALL,Throughput(ops/sec),3001.0203469179523,Throughput(ops/sec),3001.0203469179523,RunTime(ms),33322.0
19,run-1,Mongodb,workload a,10000,OVERALL,Throughput(ops/sec),662.646610562587,Throughput(ops/sec),662.646610562587,RunTime(ms),15091.0
20,run-1,Mongodb,workload a,1000,OVERALL,Throughput(ops/sec),85.25149190110827,Throughput(ops/sec),85.25149190110827,RunTime(ms),11730.0
21,run-1,Mongodb,workload b,100000,OVERALL,Throughput(ops/sec),3309.614429918915,Throughput(ops/sec),3309.614429918915,RunTime(ms),30215.0
22,run-1,Mongodb,workload b,10000,OVERALL,Throughput(ops/sec),683.9009711393791,Throughput(ops/sec),683.9009711393791,RunTime(ms),14622.0
23,run-1,Mongodb,workload b,1000,OVERALL,Throughput(ops/sec),85.4481756814492,Throughput(ops/sec),85.4481756814492,RunTime(ms),11703.0
24,run-1,Mongodb,workload c,100000,OVERALL,Throughput(ops/sec),3277.3990561090723,Throughput(ops/sec),3277.3990561090723,RunTime(ms),30512.0
25,run-1,Mongodb,workload c,10000,OVERALL,Throughput(ops/sec),705.0197405527355,Throughput(ops/sec),705.0197405527355,RunTime(ms),14184.0
26,run-1,Mongodb,workload c,1000,OVERALL,Throughput(ops/sec),85.61643835616438,Throughput(ops/sec),85.61643835616438,RunTime(ms),11680.0
